Paragraph,Label 1,Label 2,Label 3,Label 4,Label 5,Label 6,Label 7,Label 8,Label 9,Label 10,Label 11,Label 12,Label 13,Label 14,Label 15,Label 16,Label 17,Label 18,Label 19,Label 20,Label 21,Label 22,Label 23,Label 24,Label 25,Label 26,Label 27,Label 28,Label 29,Label 30,Label 31,Label 32,Label 33,Label 34,Label 35,Label 36,Label 7.1,Label 38,Label 39,Label 40,Label 41,Label 42,Label 43,Label 44,Label 45,Label 46,Label 47,Label 48,Label 49,Label 50
" Black Disability Gone Viral: : A Critical Race Approach to Inspiration Porn  Sami Schalk  On May 31, 2018, tattoo artist Milton Purnell of Tattoo Supreme in Ra- leigh, North Carolina  posted a striking video on his Instagram and Face- book pages. The video shows Purnell presenting  Michael Mack, Jr., a ten-year-old Black boy amputee, with a new prosthetic leg. The leg features  custom airbrush artwork, with white and silver flames around the name and image of the Black  Panther, the Marvel superhero from the blockbuster film, Black Panther (2018). The video captures  young Mack’s eyes growing wide with excitement, as Purnell shows him the prosthetic, asking the  boy what he thinks of it. Suddenly, Mack’s jaw drops. He spins off the stool he is seated on and  hops away briefly, with his hand over his mouth. He then returns to his seat, where he grasps the  leg in his hands, admiring it. In the background, two voices, including Mack’s mother, Sandra Mc-  Neill, express awe and admiration for the custom artwork. In front of the camera, Purnell  encourages Mack to try it on, stating “Put yo leg on man! Put yo leg on!” In the background, we  hear McNeill saying that she forgot the “connecting part” for the new leg, but that Mack should  still put it on for a picture. Mack puts on the prosthetic, stands up, and starts to dance. Within days,  this video went viral, with hundreds of thousands of views, shares, likes, and comments across  multiple social media platforms. : ",social media,disability,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Black Disability Gone Viral: : Whenever a video, image, or story of a disabled person goes viral, it most of- ten occurs within  the context of inspiration porn, a term popularized by the late Australian disability rights activist  Stella Young. Generally, inspiration porn refers to representations that “objectify disabled people  for the benefit of non-disabled people.” The term, which has taken strong hold within disability  and activist com- munities, is beginning to appear in academic scholarship, and was even featured  in an episode of the ABC sitcom Speechless in 2017. Inspiration porn has strong similarities to the  older concept of supercrip, a term used to describe narratives about disabled people who are  represented as inspiring or extraordinary for performing both mundane and exceptional activities.  ",inspiration porn,disabled person,context,supercrip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Black Disability Gone Viral: : Inspiration porn and supercrip narratives are similar in several ways. Both concepts rely on certain  affective registers, such as inspiration, awe, tragedy, tri- umph, and pity; they also presume a non- disabled audience and engage ableist concepts, such as overcoming or compensating for the  perceived obstacle caused by disability. They are also both narrative frameworks. That is, the  people represented in these images and stories are not themselves supercrips nor inspiration porn,  but rather supercrip and inspiration porn frameworks are applied to rep- resent people and their  stories in this way. There are a few differences between inspiration porn and supercrip narratives,  however. The main difference is that inspiration porn often includes representations of non- disabled people “helping” disabled people, an approach not typically considered part of supercrip  narratives. Inspiration porn is also used primarily in reference to memes, photos, videos, and news  stories that are shared on the internet, whereas the term supercrip has most often been applied to  news stories and fictional representations.  ",inspiration porn,supercrip,nondisabled,ableism,disability,representation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Black Disability Gone Viral: : Scholarly work on inspiration porn and supercrip narratives lacks engagement with race. In most  cases, scholars never mention race and the objects of analysis represent white or non-racially  identified subjects. With a few exceptions, scholars do allude to race, such as in Russell Meeuf ’s  footnote acknowledging that his analysis of John Wayne as supercrip is specifically focused on  white masculinity and my argument that Christopher Reeve’s racial and class privilege is often  overlooked in representations of him as supercrip. In both cases, racial privilege is acknowledged  as a constitutive factor in supercrip narratives, but race is not a central analytic of the scholarship.  Relatedly, only a few scholars have analyzed how audience identity impacts the reception and  interpretation of representations of disabled people, while focusing primarily on how disabled  people at large respond, as opposed to disabled people of color or people of color more generally.  ",inspiration porn,supercrip,race,disabled people,analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Black Disability Gone Viral: : A major exception to this trend is a blog post titled, “White Privilege & Inspiration Porn,” by  activist Vilissa Thompson, in which she responds to white dis- abled critiques of the story of Anaya  Ellick, a Black disabled girl who won a penmanship contest, as inspiration porn. Thompson argues  that, although she too is critical of inspiration porn, sometimes she does share stories on social  media that have an inspirational bent to them. As a Black disabled woman, Thompson asserts that  she does “not have the ‘luxury’ of picking and choosing stories that depict us [Black disabled  people] in a positive, non-inspirational light...each time we read about a Black disabled person and  it is not about us being victimized, traumatized, or killed, we hold tight to those stories because we  see a part of ourselves.” Thompson’s post provides insight into how the race and (dis)ability  identities of the individuals in a representation, as well as those of the audience, can impact the  reception of potential inspiration porn. Her arguments also provide a starting point for my own:  that inspiration porn, as it is currently understood in activist and academic circles alike, is primarily  a “White Disability Studies” concept that ultimately operates differently within Black and other  racialized experiences and representations of disability.  ",white privilege,inspiration porn,Black women,disabled,race,disability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Black Disability Gone Viral: : I argue that Disability Studies scholars have yet to adequately explore how race may necessitate  adapting our understandings of inspiration porn. More broadly, I contend that Disability Studies  needs to grapple with how non-white racial con- texts may necessitate shifting or discarding certain  terms and concepts in the field that have been almost exclusively developed and deployed in the  context of white experiences, understandings, and representations of disability. This argument  matters not only for Black and Critical Race Disability Studies scholars who need to examine the  utility of concepts and theories in white Disability Studies for our work, but also for Disability  Studies scholars working on white experiences, understandings, and representations of disability.  These scholars, I argue, need to be more explicit in naming the objects of their analysis as  exclusively white, acknowledging the potential that their concepts will not translate to other racial  contexts.  ",Disability Studies,race,inspiration porn,context,Critical Race Disability Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Black Disability Gone Viral: : In order to support these arguments, I use the viral story of Michael Mack, Jr.’s Black Panther  prosthetic leg as a case study for examining the impact of race on so- called inspirational  representations of disability. To do so, I first provide a timeline overview of how the Black Panther  prosthetic video and story circulated during the summer of 2018 in two relatively distinct,  racialized waves. Subsequently, I under- take a comparative analysis of the two waves of media  coverage. I demonstrate that while the first wave of coverage from Black digital media outlets  focused almost exclusively on Mack’s “Black boy joy” and the power of representation for Black  people, the second wave of coverage from mainstream, white, local news outlets conformed more  to the norms of inspiration porn by focusing on Mack’s disability and representing him as the  exceptional, yet passive recipient of non-disabled charity. Although almost all of the media  coverage of this story drew on similar positive affective registers like inspiration and joy, the  emphases and frameworks vary, predominantly along racial lines. The racial differences in framing  this viral video provide insight into how concepts within Disability Studies, like inspiration porn,  which have been primarily developed and deployed in regard to white experiences and  representations of disability, may need to be adjusted or discarded in the context of racialized  subjects to account for the specificity of cultural norms and racial histories.  ",race,inspiration porn,methodology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" The Black Panther Prosthetic Leg Video: A Viral Timeline : The concept of going viral is a relatively new one in our culture. In their book on the subject,  Karine Nahon and Jeff Hemsley write that going viral refers to “a naturally occurring, emergent  phenomenon facilitated by the interwoven collection of websites that allow users to host and share  content (e.g., YouTube, Insta- gram, Flickr), connect with friends and people with similar interests  (e.g., Face- book, Twitter), and share their knowledge (e.g., Wikipedia, blogs).” Typically, when  something goes viral, information in the form of a video or image is shared and viewed widely and  “with a speed and reach never before available to the vast majority of people.” Going viral is a  relatively subjective phenomenon in that opinions on what counts as viral in terms of reach (e.g.,  the numbers of views, likes, shares, or comments) and speed (i.e., how quickly those numbers rack  up after original posting) varies widely and changes frequently. While several thousand views or  shares may have constituted a viral video in the early days of social media in the early 2000s,  hundreds of thousands, if not millions of views or shares typically constituted going viral in 2018,  when the Black Panther prosthetic leg video was circulating. Although there is no way to predict  perfectly what content will go viral, the process does rely on the participation of gatekeepers, or  the “people, collectives, companies, or governments that, as a result of their location in a network,  can promote or suppress the movement of information from one part of a network to another.”  With regard to viral content created by average users, gatekeepers are typically media companies  and people, such as celebrities who possess a large social media reach and who share the content,  giving it the signal boost it needs to circulate widely. : ",viral,social media,media,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" The Black Panther Prosthetic Leg Video: A Viral Timeline : In this section, I provide a narrative timeline for the viral circulation of the Black Panther prosthetic  video to provide context for how Mack’s story initially circulated in essentially two waves. This  information is also displayed in Table 1 at the end of this essay. This narrative timeline  demonstrates how the video first circulated among Black media outlets and audiences, before  gaining a second wave of national attention among mainstream, white-dominated media outlets,  after a local news station interviewed Mack and his mother about the viral video.  ",methodology,context,media,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" The Black Panther Prosthetic Leg Video: A Viral Timeline : The initial gatekeeper signal boost for the video was provided on June 3, 2018, three days after  Purnell’s original posting. “Because of Them We Can” shared the video on Instagram, Facebook,  and Twitter, all with the same caption: “This young boy just got a new Black Panther-themed  prosthetic leg and his priceless reaction is enough to make your entire day,” followed by the  hashtags #blackboyjoy, #wakandaforever, and #becauseofthemwecan. “Because of Them We  Can” is a Black media outlet that Eunique Jones launched in 2013. The outlet emerged from her  “desire to share our rich history and promising future through images that would refute stereotypes  and build the esteem of our children.” It is important to note that the video first gained widespread  attention through a Black media outlet whose focus is on sharing positive representations of Black  people for a predominantly Black audience. This context likely helped shape the video’s  circulation and attending frameworks as it spread across the internet.  ",social media,#BlackBoyJoy,Black,media,context,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" The Black Panther Prosthetic Leg Video: A Viral Timeline : In the week after receiving the initial signal boost from “Because of Them We Can,” the Black  Panther prosthetic video gained additional coverage from seven Black media outlets, each with  moderate to major reach, particularly among Black people. First, Ebony and The Grio, two major  Black news and media outlets, covered the story on June 4, 2018 on their websites. Madame Noire  and Essence soon followed suit with stories on June 7 and 8, respectively. The video was then  featured in short news stories on several smaller Black popular culture media outlets between June  9 and 12, including Blavity, Bossip, and BCK Online. My research indicates that, although  individuals of many races viewed, shared, and commented on the video across various platforms,  only Black media outlets initially picked up the story.  ",Black ,media,race,context,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" The Black Panther Prosthetic Leg Video: A Viral Timeline : The particularity of these Black media outlets matters for any interpretation of how they represent  a Black disabled person. Publications like Ebony and Essence began as paper magazines that aimed  to represent Black people and their accomplishments in a positive light, often emphasizing middle- class values and an adherence to respectability politics. While other Black media outlets like The  Grio, Madame Noire, and Blavity are more recent and exclusively online, they also focus on Black  news, entertainment, and popular culture with a leftist, middle-class bent. Black media outlets,  therefore, often are invested in positive, uplifting, and even inspirational representations of Black  people, and this particular cultural context is essential to interpreting their coverage of Michael  Mack, Jr’s viral video.  ",Black ,media,Black people,context,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" The Black Panther Prosthetic Leg Video: A Viral Timeline : On June 13, 2018, Purnell’s video of Mack received a second wave of attention when Mack,  McNeill, and Purnell were all interviewed for the local news. WRAL, the NBC affiliate station in  Raleigh, sent reporter Bryan Mims to cover the story. The four minute and thirteen second segment  provides an overview of Mack’s personal story, as well as the story of how the Black Panther  prosthetic leg video went viral. Also, on June 13, 2018, Spectrum Local News Central North  Carolina posted a video segment about Mack that was just under two minutes in length. The next  day, WSOC-TV, the ABC affiliate station in Charlotte produced a segment about Mack, and few  days later, on June 18, WTVD, the ABC affiliate station in Durham, produced one as well. The  latter three, Spectrum News, WTVD, and WSOC-TV all appear to have used the WRAL original  interview footage, though each incorporated some sound bites that were not included in the final  version of the WRAL segment.  ",media,white,context,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" The Black Panther Prosthetic Leg Video: A Viral Timeline : Finally, between June 14 and June 18, 2018, the content produced by the local North Carolina  news stations, primarily those from WRAL and WTVD, were shared by a variety of news and  media outlets, including Yahoo Sports, The Root (the only Black news outlet in this wave of  coverage), and local news stations in Cincinnati, Chicago, and New York. With the exception of  The Root, all of the coverage in this wave emanated from more mainstream sources, with white  reporters in the videos creating content for a predominantly white audience. This context too  shapes the emphasis and approach taken in the coverage of the viral video in this second wave.  ",media,white,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" The Black Panther Prosthetic Leg Video: A Viral Timeline : By late June, almost as quickly as it began, the viral attention faded away. To reiterate, there were  two major waves of media coverage of the Black Panther pros- thetic video: The first wave  occurred between June 3 and 12, when the video was featured and shared on numerous Black  media websites and social media accounts; the second wave occurred between June 13 and June  18, when Mack, McNeill, and Purnell were interviewed by local news station WRAL and the  interview footage was used to produce three other local news segments about Mack and the viral  video. These four local news segments were then replicated and shared by other local and national  media outlets. Having established this timeline of the viral video, in the next section I will  comparatively analyze the approaches of the two waves of media coverage in more detail.  ",context,Black,media,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Black Boy Joy Meets Inspiration Porn : The media coverage of Purnell’s video and of Mack himself is an excellent and illustrative example  of how race can impact the framing and reception of content that can be used as inspiration porn.  I want to emphasize “can be used” in the previous sentence because, like supercrip, inspiration  porn is a narrative frame- work for presenting content that includes people with disabilities. In  other words, images and videos of disabled people are not in and of themselves automatically  inspiration porn—a point I hope will become increasing clear as I analyze the differences in how  the video is framed and discussed in the first wave of coverage by Black media outlets versus the  second wave of coverage by local, mainstream media outlets. My aim is to both complicate our  understanding of inspiration porn, as well as consider whether the term is useful or applicable in  the context of non-white disabled people. : ",race,inspiration porn,supercrip,disabled people,Black,media,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" First Wave of Media Coverage : The first wave of coverage by Black media outlets operated in a fairly consistent way, focusing on  two similar themes across the seven articles: Black boy joy and the power of positive  representations. As a whole, the media coverage in this wave focuses almost exclusively on race,  with little to no explicit attention to disability, while still relying on positive affect to induce  emotion in readers and viewers, as one would expect from inspiration porn. : ",Black ,media,#BlackBoyJoy,race,disability,inspiration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" First Wave of Media Coverage : Black boy joy is a social media term that is used to affirm that Black men and boys are allowed to  have a range of emotions and to reject the norms of toxic Black masculinity. The hashtag  #BlackBoyJoy was originally popularized by Chance the Rapper on an Instagram post in 2016 and  has since been used widely on social media to mark posts about and representations of happy Black  boys and men, similar to the use of #BlackGirlMagic for Black women and girls. Danielle Young  writes that the Black boy joy “hashtag is a celebration of black childhood and the innocence of it.  Black men rarely get the chance to revel in childhood or enjoy violence-free memories...[because]  throughout history, our boys have been denied their childhood.” #BlackBoyJoy was used by  “Because of Them We Can” during its first signal boost social media sharing of the Black Panther  prosthetic video and continued to appear in most Black media outlet coverage of Mack’s viral  video. This particular cultural context matters deeply to any interpretation of the use of positive  affect in media cover of the Black Panther prosthetic leg viral video.  ",#BlackBoyJoy,Black maculinity,context,representation,context,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
