Paragraph,Label 1,Label 2,Label 3,Label 4,Label 5,Label 6,Label 7,Label 8,Label 9,Label 10,Label 11,Label 12,Label 13,Label 14,Label 15,Label 16,Label 17,Label 18,Label 19,Label 20,Label 21,Label 22,Label 23,Label 24,Label 25,Label 26,Label 27,Label 28,Label 29,Label 30,Label 31,Label 32,Label 33,Label 34,Label 35,Label 36,Label 7.1,Label 38,Label 39,Label 40,Label 41,Label 42,Label 43,Label 44,Label 45,Label 46,Label 47,Label 48,Label 49,Label 50
" Introduction : This collection of writing has grown from the work of the National Black  Disability Coalition (NBDC), led by Jane Dunhamn and Leroy Moore. The  NBDC was founded to advance knowledge about Black disability, both in the  US and throughout the African Diaspora. The organization's mission  statement is, in part, ""to create a space for inquiry within universities that  brings together faculty and students [… ] to consider Black disability issues  within broad-based social, cultural and historical contexts.""  Elaborating on  this mission, in a speech at Temple University in March 2015, coalition co- chair Jane Dunham stated that, among our most important tasks, is to put out  a call to action to Black students with disabilities, so that they can lead the  next wave of change. This collection of writings is offered in the spirit of that  call, and includes a collaboratively-authored Black disability studies (hereafter  Black DS) syllabus, as well as reflections from members of the Coalition on  their experiences of teaching and learning in Black DS classrooms. : ",National Black Disability Coalition,Black,disability,Black Disability Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Introduction : It is not our intention to give a definitive picture of what Black DS pedagogy  ""is,"" but rather to suggest some of the things it  may  be, and become, as it  grows. In addition to furthering the goals laid out in the mission statement of  the Black DS Coalition, we also wish to give educators and students a sense  of how they might begin to incorporate some of the principles of Black DS,  and disability justice more broadly, into the learning spaces they inhabit.   Throughout this collection of writings, we advocate for Black DS to be  taken,  not  as a marginalized special-topic course, but rather as a crucial part  of all disability studies courses and pedagogies, as well as all Black and  Africana Studies courses. We recognize that, like disability itself, Black DS  cannot simply be ""added and stirred"" into existing pedagogies; rather, the  inclusion of Black DS is a paradigm-shifting change. The pieces included in  this collection are enactments of an ongoing conversation—a conversation  that we hope the readers of  Disability Studies Quarterly  will join thoughtfully. ",Black Disability Studies,disability justice,pedagogy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Introduction : The following sections comprise statements from the leaders of the National  Black Disability Coalition, Jane Dunhamn and Leroy Moore; reflective writings  from two students and two instructors of Black disability studies; and a copy of  the pilot syllabus. As co-chairs of the NBDC, Dunhamn and Moore both bring  decades of experience in anti-racist, disability and arts organizing to their  words; their pieces offer a historical and cultural introduction to the rise of the  NBDC, and show how its efforts encompass not only pedagogy and  scholarship, but also community- and arts-based work. From this broader  historical/cultural background, our collage of voices then brings forward work  from students Shancia Jarrett and Britney Robinson, each of whom offers an  individual perspective on her experience of learning Black DS and applying its  intersectional critiques to her work in and after college. Finally, the two pieces  from instructors Akemi Nishida and Sami Schalk highlight the ways that  specific locations (geographical, historical, cultural) shape the work of Black  DS pedagogy, as well as some of the interesting questions that might arise in  the Black DS classroom.   ",National Black Disability Coalition,organizing,art,Black Disability Studies,history,cultural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Introduction : The pilot syllabus, presented at the end, is the collaborative effort of many  NBDC members. This syllabus can be adapted for use in a wide variety of  classrooms, not only those formally designated as ""Black DS"" pedagogical  spaces. Our purpose is to invite more students and instructors into active  discussion and engagement with these ideas, so that the meaning of what  ""Black DS pedagogy"" is can continue to grow.  ",National Black Disability Coalition,Black Disability Studies,pedagogy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Who Shall Introduce the Subject? : Jane Dunhamn, Director, National Black Disability Coalition The past two years of Black disability studies (Black DS) exploration have  proven to be rewarding and overwhelming. I would like to thank the Black DS  Committee. From the beginning, the journey of discovery took us home. It was  the historic Shiloh Baptist Church that offered us space and fed us well. Our  organizer, Deacon Jerome Harris simply asked Rev. Armstrong to host us,  and resoundingly, his response was yes! When we met in June 2013, there  were many people in the audience who were new to the concepts of disability  studies and queer studies. This is, again, testimony that when we come  together we grow. That is not to say it is always without struggle. : ",Black Disability Studies,National Black Disability Coalition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Who Shall Introduce the Subject? : The most difficult and formidable challenge to Black DS are the two  intersections that gave rise to the need for this area of work. The first is, how  can Black DS be incorporated into disability studies with authenticity and the  commitment to include community action, much as with the model of  Black/Africana Studies? In other words, who is competent to introduce the  subject from an Afro-disability perspective? The second is, how can Black DS  be incorporated into Black/Africana Studies, where there has been little to no  knowledge of disability studies? In other words, who is competent to introduce  the subject from a disability-Afro perspective?  Both questions take me back 20 years to my anti-racism training. This  particular course was taught/led by a Black, gay, assistant attorney general.  The class was predominantly White, and many folks were from the  Department of Justice, including clerical staff, probation officers, attorneys and  judges. All in the class were there because they truly cared and wanted to do  the work. The trainer took us, White and people of color, back to our earliest  experiences and feelings about race. We all reached a painful discovery about  ourselves and our collective race experience exhibited in deep sorrowful  crying. The stories of pain from racism by people of color from early childhood  and the experience of White people from early childhood, who thought they  had escaped racist beliefs and behaviors because of how they were raised,  gave rise to the class coming together and understanding that racism had not  eluded any of us.  ",disability,Black Disability Studies,race,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Who Shall Introduce the Subject? : This experience reminds me that shifts in perspective come not only from  information and policy, but also from personal experience. For example,  before the passage of the ADA, Judge David S. Admire, Chairman, Criminal  Justice Department, Bethany College, implemented an innovative program for  defendants whom he recognized as having non-apparent disabilities, reducing  recidivism by 43%. He wrote:  As a judge, I was continually confronted with offenders whose behavior was  unexpected and surprising. This was observed not only during their criminal  activity but during their travel through the criminal process. This behavior did  not appear to be intentional, but rather an inappropriate response to the  circumstances that existed at the time. Furthermore, this behavior reminded  me of the behavior of my two children who had been diagnosed with learning  disabilities (LD) and attention deficit disorder (ADD). This collision of my  personal and professional lives began a journey into the fascinating and  complex world of neurobiology and its impact on the criminal justice system.  (Admire, 2006)  It is the work of each of us who believes in Black DS to help one another learn  what we need to know to assist students in their discovery. We must be able  to own our biases in race and disability to grow into this new field of study.  ",ADA,disability,Black Disability Studies,,race,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Black Disability: From Hiding to Displaying : Leroy F. Moore Jr., Chair, Black Disability Studies Committee of the National  Black Disability Coalition The National Black Disability Coalition (NBDC) has been working on creating  a working theory and practice of Black DS. Once again we continue the  conversation about disability identity from a Black perspective. We agree it is  different from dominant culture disability, but the questions are—What are the  differences? How does the Black community display those differences? And  how do Black disabled people, family members, and loved ones sit within their  disability in their communities? It is the intent of Black DS to examine many  questions and experiences, provide research and engage Black disabled  scholars. The range from history, culture, arts, sciences, leadership, and  politics from the experience of Black people with disabilities must have a  home that is Afro-centric, most importantly to engage Black disabled pride and  knowledge. : ",National Black Disability Coalition,Black Disability Studies,disability,Black,culture,Black communities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Black Disability: From Hiding to Displaying : I must be clear that NBDC cannot and will not speak for all Black disabled  people; however, we too have extensive knowledge and first hand  experiences as Black disabled people. Many scholars have written about  disability history from medicalization to institutionalization to civil rights to  disability rights movement to disability culture. Although we have new books,  for example, Terry Rowden's  The Songs of Blind Folk: African American  Musicians and the Cultures of Blindness  and Dea H. Boster's  African  American Slavery and Disability: Bodies, Property and Power in the  Antebellum South, 1800-1860  (Studies in African American History and  Culture), outside of all the growth in disability studies, the view of disability in  the Black community has only shifted marginally. We have grown from hiding  disability to survive under slavery, to displaying disability under harsh abuse in  freak shows, to playing disability to receive services.   ",National Black Disability Coalition,disability rights,Black,disabled people,Black communities,history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Black Disability: From Hiding to Displaying : The above history helped shape how Blacks from the 1970s through today  view disability. My parents' generation often viewed disability as something to  overcome or something to be labeled with to receive services or to be  classified into for special education. Beginning in the 1990s, current disability  culture has very lightly touched the Black community with events controlled for  and by the Black disabled community, for example: Vision Awards, Black  Disabled Leadership Summit, Not Everyone Reads Black Authors campaign  and the Black, Gifted and Disabled campaign by the National Black Disability  Coalition (NBDC) and New Vision: Disabled Poets and Artists of color under  Disability Advocates of Minorities Organization (DAMO) and Harambee  Education Council for the Black community in Oakland, California. These  activities have planted seeds to not only increase legal rights and services but  to increase leadership, arts and culture in the Black disabled community. This  has been a slow process; many organizations have come and gone, but each  step has helped to chip away the ""overcoming disability"" attitude in the Black  community.   ",history,Black people,disability,National Black Disability Coalition,art,culture,Black community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
