Paragraph,Label 1,Label 2,Label 3,Label 4,Label 5,Label 6,Label 7,Label 8,Label 9,Label 10,Label 11,Label 12,Label 13,Label 14,Label 15,Label 16,Label 17,Label 18,Label 19,Label 20,Label 21,Label 22,Label 23,Label 24,Label 25,Label 26,Label 27,Label 28,Label 29,Label 30,Label 31,Label 32,Label 33,Label 34,Label 35,Label 36,Label 7.1,Label 38,Label 39,Label 40,Label 41,Label 42,Label 43,Label 44,Label 45,Label 46,Label 47,Label 48,Label 49,Label 50
" A brief history of (white) feminist disability studies : My critique of contemporary scholarship in feminist disability studies is that while it has  been extremely effective in foregrounding the limitations of the universalizing category  of “woman” that mainstream feminism continues to uphold (notwithstanding critiques  from poor women, lesbians, women of color, and third world women), it falls prey to its  own critique of normativity by failing to seriously engage “difference” within its own  ranks along the axes of race, class, ethnicity, sexuality, and national difference.  —Nirmala Erevelles (2011, 126)  Feminist disability studies is an area of scholarly inquiry that merges women’s, gender, and  feminist studies with disability studies. As the newer field, disability studies was influenced by  feminist theory. Prior to the coining of the term feminist disability studies, scholarship in this  area began to appear in the late 1980s with the bulk of the work focused on the lives of disabled  women.6 In the 1990s, publications began to directly engage and critique feminist theory and the  women’s movement, particularly the exclusion of disabled women and disability rights.7 In  1994, Garland-Thomson coined the term feminist disability studies in a review essay that  emphasizes the need for a feminist disability studies that includes but is not exclusively focused  on disabled women. In this article, Garland-Thomson names and defines the field by reviewing  work that “participates in the discourse of feminist disability studies without even announcing  itself as such” (1994, 592). This tactic is one we too use in our task of integrating race more  comprehensively into feminist disability studies today. : ",White Disability Studies,feminism,white,Disability Studies,disability rights,race,history,feminist disability studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" A brief history of (white) feminist disability studies : By the early 2000s, feminist disability studies had arrived. In 2001 and 2002 the feminist  philosophy journal Hypatia published a two-part special issue called “Feminism and Disability”  (Kittay, Silvers, and Wendell 2001, 2002). NWSA Journal quickly followed suit in 2002 with a  special issue titled “Feminist Disability Studies” (Hall 2002), which included Garland-  Thomson’s “Integrating Disability, Transforming Feminist Theory” (2002). Although Garland- Thomson published multiple pieces using the term feminist disability studies prior to 2002,  “Integrating Disability” is the piece that truly shaped the field. It has been reprinted in several  collections, cited over eight hundred times, and is taught regularly in disability studies courses.  More recently, the 2010s saw the publications of Hall’s edited collection Feminist Disability  Studies in 2011 and Hypatia’s special issue “New Con- versations in Feminist Disability  Studies” in 2015 (Hall 2011, 2015). In2017, the National Women’s Studies Association  established the Alison Piepmeier Prize for books in feminist disability studies, marking a clear  recognition of the establishment of the field.  ",history,feminist disability studies,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" A brief history of (white) feminist disability studies : As we researched and wrote this brief history of feminist disability studies, we noted the limited  engagement with race as an analytic. While it is true that the scholars are mostly, though not  exclusively, white women, it is the focus of the arguments and citational practices that  foreground white- ness as the “constitutive underpinning” of the field (Bell 2006, 275). The  whiteness of feminist disability studies is perhaps unsurprising given the whiteness of disability  studies as a whole. And yet, feminist disability studies acknowledged the need for engagement  with race long before Chris Bell’s critique of “White Disability Studies” (2006). In the epilogue  to their edited collection Women with Disabilities, for example, Michelle Fine and Adrienne  Asch write, “Women of color who have disabilities are also under- represented in this volume.  For some, disability is their primary self-definition; for others it is not. How does race figure in a  woman’s experience of disability?” (1988a, 334). Similarly, Nasa Begum writes that “disabled  women can- not be treated as a unitary group,” insisting that we must consider race, class, and  sexuality, but ultimately she laments that “it is not possible within the ambit of this article to  provide this analysis” (Begum 1992, 70, 71). As shown, early feminist disability studies scholars  recognized the need for racial analysis but were frequently not able to do it.  ",history,feminist disability studies,whiteness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" A brief history of (white) feminist disability studies : Despite early acknowledgments of the importance of race and calls for future scholarship to  better include racial analysis, however, feminist disability studies scholarship has primarily  entailed cursory or comparative inclusion of race with limited engagement with feminist-of-color  scholarship, even when such engagement is clearly warranted. For instance, Margaret Lloyd  (1992, 207) draws from “the history of black feminism” to propose an intersectional feminist  model of disability, yet her main citation for this theorization is white social policy scholar Fiona  Williams (1989) rather than the black feminist theorists Williams builds her work upon, such as  Hazel Carby, bell hooks, and Gloria Joseph. To take another example, despite mentioning  racialized examples of the intersections of gender and disability such as Sara Baartman, Julia  Pastrana, and Audre Lorde, Garland-Thomson’s “Integrating Disability” includes only two  feminists of color, Lorde herself and Toni Morrison, within its sixty-four total citations (Garland- Thomson 2002, 7, 9, 12).8 These examples illustrate how feminist disability studies  as tended to acknowledge the importance of race, typically by analogizing race and disability or  by drawing from the lessons and insights of feminist-of- color writing, without sustained critical  engagement with feminist-of-color scholarship and theorizing. While we do not wish to overstate  the limited treatment of race in feminist disability studies, we do want to emphasize the further  need for engagement with feminists of color as theorists in their own right. Our concern,  therefore, is primarily with the field’s approaches and citational politics. The largely deracinated  approach to feminist disability studies, we argue, has limited the investments, methods, and  interventions of the field.  ",history,white,feminist disability studies,race,analysis,Black feminism,intersectionality,disability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" A brief history of (white) feminist disability studies : There are, of course, exceptions to the general whiteness of feminist dis- ability studies. Take,  for example, the 1993 special issue of Canadian Woman Studies on “Women and Disability”  (Blackford et al. 1993), which includes personal and academic essays by/on Native, Indonesian,  Salvadorian, Bangladeshi, and South Asian disabled women, or Alison Kafer’s intellectual  history of Donna Haraway’s cyborg in which Kafer explicitly acknowledges Haraway’s reliance  on feminists of color to theorize the cyborg and cites feminist- of-color responses to Haraway to  inform and improve disability studies critiques of cyborg theory (Kafer 2013, 103–28). These  exceptions unquestionably exist; however, they do not negate the overarching trends we have  identified across three decades.  ",history,feminist disability studies,white,feminists of color,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" A brief history of (white) feminist disability studies : Our critique here builds on extant scholarship at the intersections of dis- ability, race, and gender.  In Disability and Difference in Global Contexts, Erevelles (2011) furthers what she terms a  “transnational feminist disability studies perspective,” through which she critiques both the  whiteness of feminist disability studies and the lack of critical engagement with disability in  transnational feminist and feminist-of-color scholarship. This framework situates disability,  gender, class, race, and sexuality within the broader trans- national context of colonialism and  neocolonialism. Notably, it highlights the absence of disability analysis (named as such) in “third  world feminist analyses of difference,” despite the disabling legacies of colonialism and the  ableism of the patriarchal postcolonial state (Erevelles 2011, 130). Erevelles, we contend, is  woefully undercited and underappreciated for her interventions in feminist disability studies.  More recently, Moya Bailey and Izetta Mobley have proposed a specifically black feminist  disability studies framework that takes black feminist scholarship as foundational to analyzing  the relationship of disability to race, gender, class, and sexuality (Bailey and Mobley 2018). Our  work here builds upon Erevelles, Bailey, and Mobley, and other feminists of color working in  disability studies in order to articulate a feminist-of-color disability studies umbrella framework  that both encompasses the existing work we cite throughout this article and provides a model for  producing future scholarship. We view feminist-of-color disability studies not as a replacement  for feminist disability studies or an addition but, as our title suggests, an element of the field that  must be integrated fully in order to transform it as a whole.  ",history,feminist disability studies,disability,race,gender,whiteness,Black feminist disability studies framework,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" A brief history of (white) feminist disability studies : We use the rest of this article to further theorize what it would mean to fully integrate race in  feminist disability studies. In “Integrating Disability,” Garland-Thomson lays out the parameters  of feminist disability studies, arguing for a universalizing rather than a minoritizing approach,  establishing the field’s fundamental theoretical premises, and identifying its central do- mains  (representation, the body, identity, and activism). Most importantly for our purposes, she argues:  “Integrating disability into feminist theory is generative, broadening our collective inquiries,  questioning our assumptions, and contributing to feminism’s intersectionality. Introducing a dis-  ability analysis does not narrow the inquiry, limit the focus only to women with disabilities, or  preclude engaging other manifestations of feminisms. . . . Integrating disability does not obscure  our critical focus on the registers of race, sexuality, ethnicity, or gender, nor is it additive. Rather,  considering disability shifts the conceptual framework to strengthen our understanding of how  these multiple systems intertwine, redefine, and mutually constitute one another” (Garland- Thomson 2002, 4). Similarly, we contend that integrating race into feminist disability studies is  generative and broadening, that it does not limit our sites of analysis to disabled women of color  nor preclude substantive engagement with sexuality, class, or other vectors of power. We argue  that for feminist disability studies to effectively improve our under- standing of intersecting and  mutually constitutive oppressions, it must take up feminist-of-color writing, activism, and theory,  which have long engaged issues of the body, illness, health, medicine, and disability in ways too  often excluded by the field to date.  ",feminist disability studies,race,disability,feminists of color,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Theoretical frameworks: How to do feminist-of-color : disability studies  The methodology of disability studies involves scrutinizing not bodily or mental  impairments but the social norms that define particular at- tributes as impairments, as  well as the social conditions that concen- trate stigmatized attributes in particular  populations.  —Julie Avril Minich (2016)  Centering race in feminist disability analysis necessitates thinking beyond the politics of  recognition, representation, and identity that characterized early disability studies and instead  framing disability studies as a method. As the epigraph above suggests, this entails employing  disability studies as a lens to analyze the intersecting systems of ableism, heteropatriarchy, white  supremacy, and capitalist violence, particularly as they assign value or lack thereof to certain  bodyminds. It further requires questioning why certain topics—like fatness, HIV/AIDS, asthma,  or diabetes—are rarely considered under the rubric of disability studies and the ways in which  race and class determine the legibility of such topics within the field. Our understanding of  disability studies as method is first and foremost influenced by feminist- and queer-of-color  thought, but it also takes into account crip theory, all of which focus on methodological rather  than identitarian approaches. : ",Disability Studies,race,ableism,class,queer,feminist of color,,crip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Theoretical frameworks: How to do feminist-of-color : Feminist- and queer-of-color critiques, according to Grace Hong and Roderick Ferguson,  “profoundly question nationalist and identitarian modes of political organization and craft  alternative understandings of subjectivity, collectivity, and power.” As such, these fields of  inquiry refuse to cast race, gender, and sexuality as discrete entities, instead highlighting how the  “dividing line between valued and devalued” life cuts across and through identity categories  (Hong and Ferguson 2011, 2). Cathy Cohen, for instance, emphasizes the need for attention to  the “systematic relationship among forms of domination” (1997, 442), envisioning a queer  politics in which “one’s relation to [dominant] power, and not some homogenized identity, is  privileged in determining one’s political comrades” (438). Inspired by these interventions,  feminist-of-color disability studies likewise understands disability as a relationship to power  rather than a legible identity to which one can lay claim.  ",feminist of color,queer,race,gender,sexuality,power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Theoretical frameworks: How to do feminist-of-color : Following this, a feminist-of-color disability studies method highlights the ideological and  rhetorical deployment of ableism within legacies of eugenics, colonialism/neocolonialism,  counterterrorism, welfare reform, war, urban re- development, and other oppressive practices and  structures that route life- sustaining resources away from populations of color. More specifically,  it pays attention to the linkages between the ideologies of ability and the logics of gender and  sexual regulation that undergird racialized resource deprivation. This attunement to the workings  of power, that is, how ableist violence operates alongside and through heteropatriarchy,  capitalism, and white supremacy, further allows feminist-of-color disability studies to explore  unexpected points of affinity that might build coalition across categories. Like feminist- and  queer-of-color critique, a feminist-of-color disability analysis aims not to be additive—simply  layering disability on top of a laundry list of identities— but to demonstrate how disability is in  fact central to the gendered and sexual management of women and queers of color.  ",feminist of color,disability studies,ableism,power,oppression,capitalism,white supremacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
