Paragraph,Label 1,Label 2,Label 3,Label 4,Label 5,Label 6,Label 7,Label 8,Label 9,Label 10,Label 11,Label 12,Label 13,Label 14,Label 15,Label 16,Label 17,Label 18,Label 19,Label 20,Label 21,Label 22,Label 23,Label 24,Label 25,Label 26,Label 27,Label 28,Label 29,Label 30,Label 31,Label 32,Label 33,Label 34,Label 35,Label 36,Label 7.1,Label 38,Label 39,Label 40,Label 41,Label 42,Label 43,Label 44,Label 45,Label 46,Label 47,Label 48,Label 49,Label 50
" Introducing White Disability Studies  : A Modest Proposal  Chris Bell  My modest proposal is inspired by a popular television program airing on the Chicago PBS  affiliate. “Check, Please!” gathers three “ordinary” residents who, after selecting their favorite  restaurant, anonymously dine at all three establishments, then gather in a studio to debate the  relative merits and shortfalls of each culinary venue. During one episode, the trio included a self- styled bon vivant whom I will call Dorian Gray. Dorian, while sharing his observations about a  Chinese restaurant in a south Chicago suburb, expressed his unadulterated amazement at the  composition of one particular entre´e. “The shrimp were artificial!” he bemoaned, dread  contorting his facial features into an expression of unrecoverable distress. The individual  selecting said restaurant as his favorite—I’ll call him Bubba Gump—blinked nary an eye at this  revelation. Instead, Bubba stoically intoned, “If it looks like a shrimp, and it smells and tastes  like a shrimp, it’s a shrimp.”  Bubba Gump’s matter-of-fact rejoinder to Dorian Gray is, I think, indicative of the whiteness of  Disability Studies in its present incarnation. The fact that Disability Studies is marketed as such  when it is in actuality an artificial (read: limited and limiting) version of the field does nothing to  prevent it from being understood as Disability Studies, which is what Bubba, by extension,  apprised Dorian of. I contend that it is disingenuous to keep up the pretense that the field is an  inclusive one when it is not. On that score, I would like to concede the failure of Disability  Studies to engage issues of race and ethnicity in a substantive capacity, thereby entrenching  whiteness as its constitutive underpinning. In short, I want to call a shrimp a shrimp and  acknowledge Disability Studies for what it is, White Disability Studies. : ",whiteness,Disability Studies,race,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Introducing White Disability Studies  : In contradistinction to Disability Studies, White Disability Studies recognizes its tendency to  whitewash disability history, ontology and phenomenology. White Disability Studies, while not  wholeheartedly excluding people of color from its critique, by and large focuses on the work of  white individuals and is itself largely produced by a corps of white scholars and activists. White  Disability Studies envisions nothing ill-advised with this leaning because it is innocently done  and far too difficult to remedy. A synoptic review of some of the literature and related aspects of  Disability Studies bears this out.  ",White Disability Studies,history,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" “Vital Signs: Crip Culture Talks Back” : This documentary was filmed during a conference on Disability and the Arts on the campus of  the University of Michigan. The film is distressing because of its absence of non-white  individuals. Given the absence of people of color, I suggest that a significant number of myths  and misconceptions about who/what is constitutive of disability or “crip” culture are bolstered  and reinforced in the film. : ",disability,crip,whiteness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" No Pity: People with Disabilities Forging a New Civil Rights Movement : In his introduction, author Joseph Shapiro refers to the disabled community as the largest  minority community in the United States, with more members than communities tallied by race,  ethnicity, or sexual orientation amongst other socially-constructed identity categories. What  interests me is Shapiro’s obfuscation of divisions within this ostensibly-largest minority  community and his insinuation that the disabled community is a monolithic one, struggling  against the same oppressors, striving for identical degrees of dignity, recognition and cultural  representation. Such a characterization is a limited one that does not consider or address the rich  diversity within disability communities—racial and ethnic diversity, for example. : ",disability,race,community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" A Matter of Dignity: Changing the Lives of the Disabled : Comprised of a series of interviews with disabled people from various life strata, the dearth of  people of color in the text is as undeniable as it is flagrant. In order to prevent this text from  surprising the unexpecting reader, it might be a good idea to acknowledge that whiteness is  positioned as its center. Doing so would make for a much more accurate description of who/what  is represented. : ",disabled people,whiteness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Claiming Disability: Knowledge and Identity : In her well-known text, Simi Linton describes Disability Studies by stating, “The field explores  the critical divisions our society makes in creating the normal versus the pathological, the insider  versus the outsider, or the competent citizen versus the ward of the state”. The reader should  recognize the dichotomous line of thought here, the binary fashion with which Linton makes her  critique. At the very least, it should be understood that many white disabled people have cultural  capital by virtue of their race and are, therefore, more on the inside than they are on the outside.  As an insider, Linton appears unaware of her positioning, and it is that unawareness that is one of  the hallmarks of White Disability Studies. : ",Disability Studies,white,race,White Disability Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Enforcing Normalcy: Disability, Deafness and the Body : Throughout this text, Davis takes whiteness as a norm. From his discussion of the desirability of  the Venus de Milo to his examination of the protagonist in “Born on the Fourth of July,” Davis’s  emphasis on whiteness is undeniable. There is, to be sure, nothing wrong with this focus (aside  from being egregiously misleading with regard to which communities and subjectivities are  constitutive of “disability”). I only wish Davis had broadened his source materials, or at the very  least opted for a more accurate title e.g., Enforcing Normalcy: Disability, Deafness and the  White Body. Moreover, it matters that an excerpt from this text is reprinted in The Norton  Anthology of Literary Criticism, the ostensible Bible of literary studies. Those readers coming  across this excerpt will necessarily receive a distorted view of Disability Studies as a result of  Davis’s focus on whiteness. : ",whiteness,disability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Queer Disability Conference : Near the conclusion of the first day of this conference that convened in San Francisco in June  2002, I met with approximately thirteen other self-identified queer and disabled people of color  during a caucus session. Our conversation focused on our individual and collective sense of  exclusion based on race and ethnicity.2 We could not fathom how the conference organizers— every one of them a white person—could publicize this conference in numerous international  contexts and venues—drawing participants from Finland, Australia, and the United Kingdom  among other nations—but fail to devise and implement an outreach plan that would attract  people of color and other marginalized groups within the queer and disabled communities in the  local Bay Area. We also could not under- stand the overarching mentality of many of the  attendees, perhaps best expressed by a remark made in a breakout session: “Being disabled is just  like being black, so society should stop hating us and give us our rights.” : ",queer,disabled,people of color,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Society for Disability Studies Annual Conference, 2005 : During the business meeting at the conference’s conclusion, the people of color caucus presented  a list of action items to the membership in an effort to shore up the marginal presence race and  ethnicity had at the conference (despite the fact that the conference was themed “Conversations  and Connections Across Race and Disability”). Although the hour-long conversation that ensued  was collegial and productive, I cannot help wondering, drawing on my experience at the Queer  Disability Conference, how many times these questions of inclusion and exclusion have to be  raised by people of color to white individuals? As I averred during the business meeting, “I’m  tired of being one of the few to point out what should be obvious.” : ",people of color,race,disability,queer,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Modern Language Association (MLA) Conference on Disability Studies  : and the University  Convened on the campus of Emory University March 5–7, 2004, the conference is notable at the  outset for the sheer whiteness of those who presented. A quick glance down the list of presenters  (as published in PMLA in 2005)4 bears this out. An additional concern is the content of what  was shared during this conference. : ",whiteness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
