Paragraph,Label 1,Label 2,Label 3,Label 4,Label 5,Label 6,Label 7,Label 8,Label 9,Label 10,Label 11,Label 12,Label 13,Label 14,Label 15,Label 16,Label 17,Label 18,Label 19,Label 20,Label 21,Label 22,Label 23,Label 24,Label 25,Label 26,Label 27,Label 28,Label 29,Label 30,Label 31,Label 32,Label 33,Label 34,Label 35,Label 36,Label 7.1,Label 38,Label 39,Label 40,Label 41,Label 42,Label 43,Label 44,Label 45,Label 46,Label 47,Label 48,Label 49,Label 50
" The Prison Strike Challenges Ableism : and Defends Disability Rights  This week, as what may be the  largest prison strike in US history  continues to  unfold, disability rights groups have a historic opportunity to act in solidarity  with striking imprisoned people and articulate the deep overlaps in our  communities and in our struggles. :  Some disability justice collectives and organizations have already amplified  this  historic rebellion  to  highlight the ableism, sanism and audism  that are  deeply rooted throughout the entire criminal legal system. However, disability  rights and deaf rights organizations must do far more to effectively practice  disability solidarity with the strike and help people understand  the nexus  between racism, classism, ableism and incarceration . ",prison strike,United States,disability rights,disability justice,solidarity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" The Prison Strike Challenges Ableism : After centuries of disabled people being forced into all manner of institutions  — asylums, nursing homes, poor houses, jails, prisons, etc. — disability  communities are  acutely aware  of how institutions often serve as breeding  grounds for human and civil rights violations with very little, if any, visibility,  accountability, or public scrutiny and outcry. Yet still, there is a palpable lack  of ire from disability rights communities (not to be confused with  disability  justice  communities, which refuse to solely rely upon the legal system for  liberatory purposes) toward carceral-based institutions that steal disabled  people in the name of “justice.”  Disabled people continue to be preeminent targets for state surveillance,  violence and deprivation of rights and freedom. It should come as no surprise  then, that despite comprising just 25 percent of the U.S. population, disabled  people represent about  85 percent of those youth found in kid prisons , and  anywhere between 40-80 percent of the adult prison population — with no  one actually having an accurate accounting of disability in our adult carceral  system. As is true in every kind of institution,  disabled people in our nation’s  prisons are prime targets  for violence, exploitation, isolation and other  injustices.  ",disabled people,institutions,prison,state violence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" The Prison Strike Challenges Ableism : As community builders who live, organize and advocate at the intersection of  disability and numerous other marginalities, on the occasion of this historic  prison strike, we call on disability communities to work in solidarity with  imprisoned people, and we call upon those engaged in decarceration and  abolition work to remember to name and address disability amidst the  ongoing struggle against systems of oppression.   The current prison uprising began on August 21, when thousands of  imprisoned people in at least 17 states initiated a strike in response to  an  uprising at Lee Correctional Institution , South Carolina’s largest maximum  security prison. Over the course of seven hours, prison officials and medical  personnel refused to intervene as violence erupted. August 21 strike organizers  at  Jailhouse Lawyers Speak  lamented this tragic day and condemned the  prison conditions and profiteering that led to the uprising, stating: ",disability,solidarity,prison strike,context,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Seven comrades lost their lives during a senseless uprising that could : have been avoided had the prison not been so overcrowded from : the greed wrought by mass incarceration, and a lack of respect for : human life that is embedded in our nation’s penal ideology. These : men and women are demanding humane living conditions, access to : rehabilitation, sentencing reform and the end of modern day : slavery. : This historic strike is scheduled to continue until September 9, the  anniversary of the  1971 Attica uprising . There is still time for acts of  disability  solidarity . : ",prison ,incarcration,rehabilitation,reform,solidarity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" How Disability Issues Relate to the 10 Prison : Strike Demands  Most people are unaware of the unremitting disability-based injustices found  within our legal and penal systems. This disability consciousness gap is likely  due to the fact that the majority of society has come to understand disability  through a lens of whiteness, wealth and other privileges that actively excludes  the experiences of nonwhite, low-income people — namely people that have  experienced or witnessed violence; those who come from or reside in  communities that have endured generational trauma; and those who live in  financial precarity. :  Here are the 10 prison strike demands and just some of the ways in which  each demand implicates disability:  1. Immediate improvements to the conditions of prisons and prison  policies that recognize the humanity of imprisoned men and  women.",disability,prison,carceral,whiteness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" How Disability Issues Relate to the 10 Prison : Disabled people are the largest “minority” population in jails and prisons in  large part because they are  disproportionately represented  in incidents of  police use of force, arrests and convictions. In addition, current conditions of  confinement in jails and prisons create and exacerbate disability, especially  because incarcerated people experience extreme abuse, medical neglect and  isolation in our prisons.   Those who come in without disabilities are likely to experience disabilities  while incarcerated that  often last  long after their release. Incarcerated people  are often malnourished or ill because they are provided unhealthy and  unsanitary food and forced to drink contaminated water or expired drinks. ",disabled people,prison,disproportionately represented,police violence,incarcerated people,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" How Disability Issues Relate to the 10 Prison : This often leads to imprisoned people resorting to  eating unhealthy , sugar-  and sodium-saturated foods sold at a premium in prison commissaries.   Similar to low-income neighborhoods, prisons are often built on  toxic or  environmentally unsafe land , having outdated water and sewage systems, both  of which lead to various health conditions. Sufficient meals for those with  dietary restrictions are difficult to come by, if and where they are available. ",incarcerated people,neglect,state violence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" How Disability Issues Relate to the 10 Prison : Solitary confinement is used to punish or “protect” imprisoned people,  including disabled people and those who have suicidal ideations (often  activated by conditions of confinement). Solitary confinement beyond two  weeks is considered torture by the United Nations but on any given day, here  in the US we have  80,000-100,000 being held in solitary confinement  — some  for months, years or decades, even. In  some cases , prison officials have  encouraged imprisoned people to commit suicide. Exercise is routinely  prevented, as when held in solitary confinement, and access to fresh air and  natural light is restricted. Overcrowded and unsanitary living conditions lead  to the rapid spread of communicable and infectious diseases.  ",solitary confinement,incarcerated people,disabled people,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" How Disability Issues Relate to the 10 Prison : On top of all this,  health care contracts  are granted to corporations whose  bottom line is profit, not quality, such that only the bare minimum is  provided. Imprisoned people are therefore often forced to seek counsel and  sue just  to receive life-saving  medical attention. Inhumane prison conditions  are not unlike those conditions survived by disabled people who have been  warehoused in other kinds of institutions, where, for example, psychiatric  institutions would lock “patients”  in cages .   Similarities between prisons and other institutions are not a coincidence.  Victories in the struggle against the violent and unhealthy conditions of jails  and prisons will save disabled people’s lives.  2. An immediate end to prison slavery. All persons imprisoned in  any place of detention under United States jurisdiction must be  paid the prevailing wage in their state or territory for their labor.",incarcerated people,ableism,access to medical treatment,institutions,prison,prison slavery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" How Disability Issues Relate to the 10 Prison : Capitalism demands that our value as people be determined in part by our  capacity to produce. The goal of capitalism is to maximize profit, which has  always relied on the unpaid labor and exploitation of bodies — specifically,  Black/Indigenous bodies. The ableist structure of the labor system allows  people labeled as disabled to be paid  subminimum wages  or excludes them  from employment opportunities altogether, while simultaneously disabling  others through forced labor in harsh conditions for so little pay that they  cannot care for themselves or their loved ones. These practices continue to  serve as mechanisms of mass exploitation of disabled and negatively racialized  people, shape-shifting over time to trap the most exploitable marginalized  groups of each era — from enslavement, to convict leasing and prison labor, to  migrant labor or sheltered workshops where disabled people are legally paid  nothing or pennies on the hour.   3. The Prison Litigation Reform Act (PLRA) must be rescinded,  allowing imprisoned humans a proper channel to address  grievances and violations of their rights. ",productivity,capitalism,ableism,prison slavery,disablement,Prison Litigation Reform Act,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" How Disability Issues Relate to the 10 Prison : The PLRA  infringes  upon the civil rights of incarcerated people by, among  other things, requiring exhaustion of the grievance process available within  the prison prior to bringing a federal lawsuit. This requirement also applies to  violations of the Americans with Disabilities Act. Jails and prisons have  purposefully designed their grievance processes to be matrices of confusion,  rendering them largely inaccessible by design. All tiers of grievance processes  must be completed in written English, making them nearly impossible for  those who do not know or who cannot read or write English for any reason.  ",Prison Litigation Reform Act,civil rights,ADA,violation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
