Paragraph,Label 1,Label 2,Label 3,Label 4,Label 5,Label 6,Label 7,Label 8,Label 9,Label 10,Label 11,Label 12,Label 13,Label 14,Label 15,Label 16,Label 17,Label 18,Label 19,Label 20,Label 21,Label 22,Label 23,Label 24,Label 25,Label 26,Label 27,Label 28,Label 29,Label 30,Label 31,Label 32,Label 33,Label 34,Label 35,Label 36,Label 7.1,Label 38,Label 39,Label 40,Label 41,Label 42,Label 43,Label 44,Label 45,Label 46,Label 47,Label 48,Label 49,Label 50
" “They Don't Know, Don't Show, or Don't Care”: : Autism's White Privilege Problem  Morénike Giwa Onaiwu When I—as a black person, as a woman, as an autistic adult, as the mother of black  autistic children, as an advocate—think about the world of autism research and practice,  the words of Doughboy come to mind. In a poignant ending scene from the late African  American director John Singleton's iconic debut film,  Boyz n the Hood , Doughboy sadly  remarks, “Either they don't know, don't show…or don't care about what's going on in the  hood. ” Similarly, when it comes to autism, either they—or should I say you all—do not  know, do not show, or do not care about black, indigenous, people of color (BIPoC) very  much. : ",Black woman,disability,research,BIPOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" “They Don't Know, Don't Show, or Don't Care”: : Perhaps “they”—society at large, particularly those who are more privileged—are  uninformed of the realities of those whose lives are more laden with oppression than  theirs (“they don't know”). The typical “face” of autism tends to be that of a little white  boy, regardless of autism's actual prevalence in all racial, age, and gender groups.  Moreover, autism continues to be widely depicted and perceived as a tragic childhood  condition that devastates families and burdens communities and, therefore, requires  urgent intervention.   A Google image search for the word “autism” yields a plethora of (mostly white)  children, puzzle pieces, and colorful infographics bearing lists of symptoms, warning  signs, graphs, and statistics. Like these images, the majority of autistic characters in  popular media (e.g.,  Atypical's  Sam,  Parenthood's  Max,  The Good Doctor's  Shaun, and  Big  Bang Theory's  Sheldon) tend to be white and male. They bear little resemblance to  Arnaldo Rios, Reginald “Levi” Latson, JT Torres, Kayleb Moon-Robinson, or David  Ramos—all autistic individuals of color who were unjustly (and in most instances,  violently) mistreated by U.S. police officers.",disability,oppression,racism,police violence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" “They Don't Know, Don't Show, or Don't Care”: : In all of these cases, the intervening officers perceived these individuals' mannerisms  as aggression rather than characteristics of autism and responded with excessive  force. Although the officers' actions are clearly reprehensible, it begs the question: with  such little recognition that autistic people of color even exist, should we truly be  shocked by any of these incidents? Or by the recent deaths of Eyad Hallaq of Jerusalem  or Elijah McCain of Colorado, both young men of color who displayed autistic  characteristics and were killed by the police? In contrast to the limited perspective on autism shared by the general public, there are a  significant number of individuals (and their respective organizations/institutions) who  actually possess an understanding that grave inequities exist in communities of color  with regard to autism. ",police violence,compliance,disability,killed,BIPOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" “They Don't Know, Don't Show, or Don't Care”: :  Although the layperson might be largely uninformed, autism  professionals and experts, including clinicians, investigators, service providers, and  others who are privy to more in-depth information, cannot feign such ignorance; they  “know” about it.   However, what they know is rarely, if ever, applied in a manner that could result in  meaningful change to the disparities faced by people of color in the autism community.  If knowledge is “power,” in this case that power is rendered dormant. These are the  individuals and institutions within the autism community who “don't show.” They do not  adequately show what is going on with regard to the diagnostic, access, outcome,  educational, psychosocial, economic, and other gaps between races. ",disability,BIPOC,power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" “They Don't Know, Don't Show, or Don't Care”: : This failure to call attention to and/or take action to right these imbalances is not  necessarily malicious. Usually, it is not intentionally racist; in fact, most likely it seldom  is. What it is, however, is self-serving. It is comfortable; it is familiar. It is lazy. And it is  cowardly. For it is a lot safer to maintain the status quo, to “go with the flow” and to  pretend not to notice. It takes courage and integrity to have to initiate difficult  conversations. It takes time, and energy, and resources to make the efforts required to  transform our spaces, our policies, and our practices to make them more inclusive. It  takes self-awareness and strength to yield one's privilege: to ask hard questions, to  make space for others, to work toward restoration, and to unlearn and re-educate  ourselves. Sadly, despite awareness of the plight of people of color in the autism  community, many would rather not inconvenience themselves.  ",racism,disability,privilege,awareness,BIPOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" “They Don't Know, Don't Show, or Don't Care”: : In addition to those who “don't know” and those who know, but “don't show,” there is,  according to a more pessimistic hypothesis, a third possibility: those who simply “don't  care.” Like those who “don't show,” those in society who “don't care” are indeed aware  of these issues. However, since personally they are not very impacted by these  marginalizations, they largely disregard them. These very real discrepancies remain  intentionally unaddressed because it is of little interest to them and because they see  little to no benefit in getting involved. Essentially, “don't show” and “don't care” reside on  a continuum. If you spend enough time as one who does not show, you will eventually  evolve into someone who does not care.  ",power,care,oppression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" “They Don't Know, Don't Show, or Don't Care”: : Having read this, how are you feeling right now? Pretty crappy, I would assume. When  racism within the autism community is brought up, it evokes a sense of discomfort so  thick it is nearly tangible. White people seem to feel especially awkward about this  topic. And I get that it is not exactly pleasant to think or talk about it. However, can you  imagine what living it is like? I can, because unlike many of you, I do not have a choice. ",racism,disability,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" “They Don't Know, Don't Show, or Don't Care”: : It is uncomfortable for me too. Sometimes (often) I feel as reluctant as Doughboy did to  have to face that hurtful and ugly reality. I desperately want to believe that the structural  racism within the collective world of autism, in both its subtle and more blatant  manifestations, is merely a figment of my imagination (an imagination some would  allege is essentially “nonexistent” since I am autistic). I would like nothing more than to  feel assured that BIPoC autistic peers are valued as much as we seem to be in all of the  rhapsodic and carefully curated “solidarity” and “Black Lives Matter” statements that  have been issued in recent months. I wish the amalgamation of both the subjective  (observations, personal experiences, and anecdotes from autistic BIPoC peers) and  objective (“evidence-informed”) data did not collectively paint the same dismal picture  of inequity. But wishing something does not make it true.  ",structural,disability,BIPOC,solidarity,Black Lives Matter,data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" “They Don't Know, Don't Show, or Don't Care”: : In  Boyz in the Hood , neither Doughboy nor his brother Ricky lived long enough to have a  fighting chance to change their circumstances. Their opportunity to experience better in  this life ceased the moment their hearts ceased to beat. But if you are reading this, your  heart, like mine, beats on. That means that we still have a chance to transform even this  chaotic mess into something new that we can build together. It might seem amorphous,  intimidating, maybe even impossible, but we must push past fear, doubt, ignorance,  apathy, or whatever the obstacle is and seize the opportunity.  ",transformation,care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" “They Don't Know, Don't Show, or Don't Care”: : The problem is an enormous one; I am not going to lie to you nor myself about its  scope. But present circumstances do not have to determine the final outcome. I believe  that gradual progress is the ancestor of monumental change, and it starts with you and  me. It starts today. I ask you, allies, families, fellow autistic people,  etc.  of all ages,  genders, races, and backgrounds, to pledge to take the following steps toward a world  where when it comes to autism and race: You will commit to doing the work to know  what is happening. You will make concerted efforts to show these important concepts  to others so they can be more informed. And, last but not least, through practical and  consistent action, you will show that you do, indeed, care.  ",scope,family,disability,race,care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
