Paragraph,Label 1,Label 2,Label 3,Label 4,Label 5,Label 6,Label 7,Label 8,Label 9,Label 10,Label 11,Label 12,Label 13,Label 14,Label 15,Label 16,Label 17,Label 18,Label 19,Label 20,Label 21,Label 22,Label 23,Label 24,Label 25,Label 26,Label 27,Label 28,Label 29,Label 30,Label 31,Label 32,Label 33,Label 34,Label 35,Label 36,Label 7.1,Label 38,Label 39,Label 40,Label 41,Label 42,Label 43,Label 44,Label 45,Label 46,Label 47,Label 48,Label 49,Label 50
" WORK IN THE INTERSECTIONS:  : A Black Feminist Disability Framework  A Black feminist disability framework has the potential to offer new theoretical paradigms that  lead to a more complex and nuanced understanding of our lives. This framework highlights how  and why Disability Studies must adopt a comprehensively intersectional approach to disability and  non-normative bodies and minds and explains why Black Studies should do the same. With such  a model, scholars might reconceptualize what conditions make for a “good” life, particularly as it  relates to how we work and how we use language. Drawing on historical and theoretical examples  from the fields of Black Studies and Disability Studies, we argue for an enhanced and committed  critical engagement with Black feminist theory, particularly at the intersections or race, gender,  and disability. To facilitate the intersectional analysis we call for, our literature review  cum  discussion is divided into two sections that, first, examines the omission of disability in Black  Studies and race within Disability Studies, and second, discusses Black feminist theory as a useful  intervention that leads to a framework for use in these disciplines and beyond.  : ",Black feminist disability framework,disability studies,Black studies,intersectionality,methodology,Black feminist theory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" WORK IN THE INTERSECTIONS:  : A Black feminist disability framework centers race, gender, and disability, challenging these  generally siloed theories to work together to better understand the realities for those multiply  marginalized within society. Adopting a Black feminist disability framework gives us the  scaffolding to think in generative ways about the intersectional nature of oppression, thus  reinvigorating our theorizing so as to address the multiplicity of our lives. In the section titled  Disability in Black Studies and Blackness in Disability Studies, we examine how Black Studies  should more explicitly engage disability theory and how Disability Studies can benefit from  interventions from Black Studies. Our section Black Feminist Disability Framework in Practice is  devoted to the application of a Black feminist disability frame- work towards more careful analysis  of the language we use and the ways we work. We conclude by offering readers new sites of study  that a Black feminist disability framework is uniquely poised to address.   ",Black feminist disability framework,gender,race,disability,Black Studies,Disability Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" WORK IN THE INTERSECTIONS:  : BLACK FEMINIST METHODOLOGY Black Studies has been notoriously slow to incorporate gender into its central analytic framework;  similarly, the neglect of gender in Disability Studies elicited Rosemarie Garland-Thomson’s  intervention, and the creation of Feminist Disability Studies (Garland-Thomson 2002). Feminist  Disability Studies has been an important touchstone in our thinking about the implications of race,  class, gender, and sexuality— arenas that Black feminist intersectional theorizing brings to the  fore. Like the Combahee River Collective and the authors of  all the Women are White, all the  Blacks are Men, but Some of Us are Brave , Black feminist scholars have been working within  intersectional frameworks for generations, a practice that evolved even before Kimberlé Crenshaw  coined the term (Combahee River Collective 1982; hull, Scott, and Smith 1993; Crenshaw 1991).  As Black feminist Audre Lorde astutely put it, “There is no such thing as a single-issue struggle  because we do not live single-issue lives” (1984, 138). By pushing for a Black feminist disability  framework, we work to transform these disciplines such that they see the integration of questions  of race, gender, disability, and other vectors of power as essential for their deployment.   ",Black studies,gender,feminist disability studies,intersectionality,single-issue,Black feminist disability framework,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" WORK IN THE INTERSECTIONS:  : Only a year separates the publication of Kimberlé Crenshaw’s (1991) article “Mapping the  Margins: Intersectionality, Identity Politics, and Violence Against Women of Color,” and the  signing of the American with Disabilities Act (ADA) (1990). Both Crenshaw’s articulation of  intersectionality and the signing of ADA serve as pivotal interventions that illuminate the  oppressive structures that impact women of color and disabled people, respectively. Crenshaw  noted the interplay between race and gender in violence against Black women; we take up  intersectionality to argue that a single-issue approach to disability fosters the same pitfalls. Our  intervention requires intersectionality to explicitly attend to disability. It is our contention that  racism, sexism, and ableism share a eugenic impulse that needs to be uncovered and felled.   ",intersectionality,ADA,intervention,disabled people,women of color,single-issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" WORK IN THE INTERSECTIONS:  : By using historical and theoretical examples from Black Studies and Disability Studies, we show  that a Black feminist disability framework is emergent and intersectional. These examples, when  analyzed with such a framework in mind, are rich with unexplored connections across both  disciplines. Embedded within the narratives of some of the central figures and theories of these  fields are the ingredients for creating the unifying framework. For example, the excess strength  and otherwise “too much- ness” of Blackness is an oft-deconstructed trope in Black Studies. The  myth of the  strong Black woman  has been critiqued in many ways, notably by a powerful range of  Black feminist scholars but has rarely been examined as a form of ableism—internalized or social  (Beauboeuf-Lafontant 2009; Cole and Guy-Sheftall 2009; Collins 2000, 2005; Giddings 2007;  Harris-Perry 2011; Mataka 2000). The myth suggests that Black women are uniquely strong, able  to endure pain, and surmount otherwise difficult obstacles because of their innate tenacity. Black  women are disallowed disability and their survival is depoliticized. Survival is a form of resistance  and a source of celebration, particularly in the face of the reality that, as Lucille Clifton said,  “Every day something has tried to kill me and has failed” (Clifton 1993, 25). There is a productive  tension in recognizing the critical connections of the celebration of survival in the context of the  demands made on Black bodies to transcend all suffering (Derricotte 2010). Resilience is praised  while trauma, violence, and pain are too com- mon to actually be interrogated for very long. The  logic of Black hyper- visibility produces subjects that are barred from weakness—and disability  in Western thought as figured through non-normative bodies is the ultimate sign of unsuitability.   ",Black feminist disability framework,intersectional,myth of the strong Black woman,resistance,ableism,resilience,trauma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" WORK IN THE INTERSECTIONS:  : To counteract such notions of unsuitability, a form of strategic essentialism has been adopted that  upholds internalized ableism and ultimately disallows Black suffering through embracing an  identification with this presumed hyper-ability. how many of us grew up with parents who warned  us of having to be twice as good as our white counterparts? Designed to fortify Black children  against the profound racism that is masked in a masquerade of meritocracy, this notion of having  to be “twice as good,” while often true, also marks the difficulties with dis- cussing trauma, health  disparities, and psychiatric or physical disabilities within Black communities. If one is not able to  work twice as hard to keep up with the masquerade, then what value does one have to the project  of Black redemption? The cultural tradition from which this adage stems has been supported by  studies and corroborated with empirical evidence. Black people are more likely to be surveilled,  punished, and passed over for promotion than their white counterparts in all societal institutions.  Black workers must demonstrate a significantly higher level of skill than their white counterparts  in order to keep their jobs despite receiving lower wages and fewer opportunities for promotion  (White 2015). Black people cannot afford to be disabled when they are required to be  phantasmically abled in a white supremacist society. By bringing disability studies and a Black  feminist theoretical lens to address this myth, scholars are better able to explain Black people’s  reluctance to identify as disabled and potentially offer new strategies for dismantling ableism  within Black Studies.   ",hyper-ability,Black,racism,anti-Black racism,white supremacy,disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" WORK IN THE INTERSECTIONS:  : Black feminist texts can provide a methodological map for the integration of disability, race, and  gender, even when disability is not named as such. In  incidents in the life of a Slave Girl , Harriet  Jacobs ([1861] 1987) detailed how her confinement in an attic room as she attempted to steal  herself away from slavery caused her pain and impaired her body long after she gained her  freedom. She implied that she traded her abled body for bodily freedom, a tactic utilized and  observed in other accounts from the enslaved. Over a hundred years later, Audre Lorde did not  frame her battle with cancer or the fact that she was legally blind in identarian terms, though her  work in the  Cancer Journals  and other essays is profoundly shaped by her experiences with both.  In discussing her desire to write the  Cancer Journals , Lorde lamented that she had no writing to  turn to that described the experiences of a Black lesbian woman surviving cancer. These are but  two examples of Black feminism engaging race and disability in all but name, prior to the  development of both Black Studies and Disability Studies as scholarly fields.   ",disability,race,gender,methodology,enslaved people,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" WORK IN THE INTERSECTIONS:  : Our primary methods of analysis for this article involved reviewing and mining concepts and  narratives from Black Studies and Disability Studies, such as the trope of the strong Black woman  or Lorde’s  Cancer Journals , for the ways in which disability and race go underexamined.  Throughout each section, we use Black feminism’s clarion call for intersectional analysis to stitch  the fields together. By using a Black feminists disability framework, a paradigm shift in Black  Studies and Disability Studies becomes possible.   DISABILITY IN BLACK STUDIES AND BLACKNESS IN DISABILITY STUDIES All the Blacks Are Able-Bodied  Scholars of Blackness have continually noted the powerful repercussions of stigmatized  embodiment on the everyday lives and material realities of Black people. At the same time, Black  Studies scholars have approached embodiment with varying levels of attention to gender. Ida B.  ",methodology,analysis,myth of the strong Black woman,disability,race,Black feminist disability framework,stigmatized embodiment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" WORK IN THE INTERSECTIONS:  : Wells eloquently elucidated the connection between white fear, false accusations, and state- sanctioned violence in lynching cases of mostly Black men (Wells- Barnett 1996). W.E.B.  Dubois’s oft quoted and canonical assertion of “double consciousness” itself suggests the complex  psychological defenses that Black people have developed in response to being targets of bodily  and mental violence (Du Bois 1909). More contemporarily, we might consider Melissa Harris  Perry’s framing of “the crooked room,” which dictates the inherently racist and sexist standards  by which many Black women are not only judged but also encouraged to orient a sense of value  and self around (2011, 1). henry Louis Gates (1989) wrote about the role of physical dominance— and by extension disability—in African American literature, from Frederick Douglass’s  recounting of Aunt Hester’s brutal beating, to Harriet Tubman’s negotiation of her epileptic  seizures. In all of these instances, the body and disability are hailed, if not explicitly named.   ",state violence,gender,race,sexism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" WORK IN THE INTERSECTIONS:  : Yet, it is perhaps precisely because of Black Studies’ deep familiarity with stigmatized  embodiment that scholars in these fields have not more substantively taken up disability as core to  their work, or more comprehensively engaged Disability Studies. In addition, Disability Studies is  a field that we acknowledge is fraught with omissions, as it often ignores race as an analytic  category. But whether it is lynching cases, Aunt Hester’s beating, or Tubman’s navigation of her  seizures, Black Studies often prioritizes race over disability (and gender) as interlocutors pertinent  to the analysis.    Blackness has not only been stigmatized but has also been used to elect candidates for death and  destruction. As Nirmala Erevelles (2014) notes in  Crippin’ Jim Crow , race and disability have  been used in tandem to incarcerate Black people for decades. The additional perceived stigma of  disability is an added threat to an always already perilous identity group (Goffman 2009; Link and  Phelan 2001; Scambler 2004). Race—and specifically Blackness—has been used to mark  disability, while disability has inherently “Blackened” those perceived as unfit. Black people  were—and continue to be—assumed intellectually disabled precisely because of race.  ",stigmatized embodiment,race,gender,disability,sitgma,Black studies,disability studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
