Label,alias1,alias2,alias3,alias4,alias5
advancement,promotion,rise,upgrade,upgrading,advancements
capacity,understanding,grasp,concept,cognitive,intellectual
conditions,contingencies,provisions,qualifications,reservations,stipulations
hiring,engaging,leasing,renting,employment,work
honesty,integrity,probity,truthfulness,veracity,verity
minors,adolescents,boys,girls,children,child
payments,compensations,disbursements,regiments,remittances,remunerations
performance,account,interpretation,reading,rendition,version
program,agenda,calendar,docket,schedule,timetable
step,expedient,means,measure,move,shift
transportation,lift,ride,bus,car,walking

