Label,alias1,alias2,alias3,
funds,bankroll,money,payment,
grounds,park,premises,yard
habilitation,house,home,apartment
harassment,aggravation,discrimination,unequal treatment
informed consent,consent,capacity,understanding
intellectual impairment,cognitive impairment,intellectual disability,cognitive disability
judiciary,judicatory,courts,judgement
labour,job,killer,worker
medical,clinic,doctor,physician
respect,regard,equality,dignity 
sex,gender,male,female
skills,masterfulness,skillfulness,skill
treaties,accords,law,policies
tribunal,bar,committee,organization
women,females,ladies,girls


